[2024-03-27T04:12:17.769+0000][0.005s][1][125][debug] Minimum heap 8254390272  Initial heap 8254390272  Maximum heap 8254390272
[2024-03-27T04:12:17.769+0000][0.005s][1][125][info ] Using G1
[2024-03-27T04:12:17.769+0000][0.005s][1][125][trace] Trying to allocate at address 0x0000000614000000 heap of size 0x1ec000000
[2024-03-27T04:12:17.769+0000][0.005s][1][125][debug] Heap address: 0x0000000614000000, size: 7872 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[2024-03-27T04:12:17.772+0000][0.009s][1][125][debug] Expand the heap. requested expansion amount: 8254390272B expansion amount: 8254390272B
[2024-03-27T04:12:17.772+0000][0.009s][1][125][debug] Running G1 PreTouch with 10 workers for 1968 work units pre-touching 8254390272B.
[2024-03-27T04:12:18.136+0000][0.372s][1][125][debug] Running G1 PreTouch with 10 workers for 31 work units pre-touching 128974848B.
[2024-03-27T04:12:18.141+0000][0.378s][1][125][debug] Running G1 PreTouch with 10 workers for 31 work units pre-touching 128974848B.
[2024-03-27T04:12:18.147+0000][0.384s][1][125][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 16121856B.
[2024-03-27T04:12:18.149+0000][0.385s][1][125][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 16121856B.
[2024-03-27T04:12:18.152+0000][0.388s][1][125][debug] Running G1 PreTouch with 4 workers for 4 work units pre-touching 16121856B.
[2024-03-27T04:12:18.156+0000][0.392s][1][125][debug] Activate regions [0, 492)
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2124: was 0x00000007fef5cf10
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2125: was 0x00000007fef60ac8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2126: was 0x00000007fef61b78
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2127: was 0x00000007fef5c280
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2128: was 0x00000007fef59950
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2129: was 0x00000007fef5bdd0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2130: was 0x00000007fef61fd0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2131: was 0x00000007fef675c0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2132: was 0x00000007fef67ae8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2133: was 0x00000007fef63390
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2134: was 0x00000007fef66d20
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2135: was 0x00000007fef67130
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2136: was 0x00000007fef66ab8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2137: was 0x00000007fef66f28
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2138: was 0x00000007fef60180
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2139: was 0x00000007fef5a8a0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2140: was 0x00000007fef561d8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2141: was 0x00000007fef5a580
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2142: was 0x00000007fef5b058
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2143: was 0x00000007fef618c0
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2144: was 0x00000007fef5b140
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2145: was 0x00000007fef61538
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2146: was 0x00000007fef5b6d8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2147: was 0x00000007fef673b8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2148: was 0x00000007fef5b378
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2149: was 0x00000007fef59490
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2150: was 0x00000007fef5a9c8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2151: was 0x00000007fef5e438
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2152: was 0x00000007fef5e670
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2153: was 0x00000007fef5e8e8
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2154: was 0x00000007fef5a668
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2155: was 0x00000007fef5af50
[2024-03-27T04:12:18.166+0000][0.403s][1][125][debug] Clearing root 2156: was 0x00000007fef5ae68
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 18: was 0x00000007fef00938
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 97: was 0x00000007fef02a08
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 26: was 0x00000007fef00d58
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 375: was 0x00000007fef0a9b0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 365: was 0x00000007fef0a520
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 20: was 0x00000007fef009f0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 17: was 0x00000007fef008c8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.Object archived mirror 0x00000007fef008c8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 245: was 0x00000007fef06a80
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.Object; archived mirror 0x00000007fef06a80
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 1535: was 0x00000007fef2ab18
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [[Ljava.lang.Object; archived mirror 0x00000007fef2ab18
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 119: was 0x00000007fef03378
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.io.Serializable archived mirror 0x00000007fef03378
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 741: was 0x00000007fef14600
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.io.Serializable; archived mirror 0x00000007fef14600
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 314: was 0x00000007fef08e20
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.Comparable archived mirror 0x00000007fef08e20
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 745: was 0x00000007fef147c0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.Comparable; archived mirror 0x00000007fef147c0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 96: was 0x00000007fef02998
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.CharSequence archived mirror 0x00000007fef02998
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 317: was 0x00000007fef08f70
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.CharSequence; archived mirror 0x00000007fef08f70
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 315: was 0x00000007fef08e90
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.constant.Constable archived mirror 0x00000007fef08e90
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 736: was 0x00000007fef143d0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.constant.Constable; archived mirror 0x00000007fef143d0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 316: was 0x00000007fef08f00
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.constant.ConstantDesc archived mirror 0x00000007fef08f00
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 750: was 0x00000007fef149f0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.constant.ConstantDesc; archived mirror 0x00000007fef149f0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 25: was 0x00000007fef00cd0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.String archived mirror 0x00000007fef00cd0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 246: was 0x00000007fef06af0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.String; archived mirror 0x00000007fef06af0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 374: was 0x00000007fef0a940
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.reflect.AnnotatedElement archived mirror 0x00000007fef0a940
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 739: was 0x00000007fef14520
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.reflect.AnnotatedElement; archived mirror 0x00000007fef14520
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 364: was 0x00000007fef0a4b0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.reflect.GenericDeclaration archived mirror 0x00000007fef0a4b0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 740: was 0x00000007fef14590
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.reflect.GenericDeclaration; archived mirror 0x00000007fef14590
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 373: was 0x00000007fef0a8d0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.reflect.Type archived mirror 0x00000007fef0a8d0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 377: was 0x00000007fef0aa68
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.reflect.Type; archived mirror 0x00000007fef0aa68
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 380: was 0x00000007fef0ab80
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.invoke.TypeDescriptor archived mirror 0x00000007fef0ab80
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 737: was 0x00000007fef14440
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.invoke.TypeDescriptor; archived mirror 0x00000007fef14440
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 376: was 0x00000007fef0a9f8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.invoke.TypeDescriptor$OfField archived mirror 0x00000007fef0a9f8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 738: was 0x00000007fef144b0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.invoke.TypeDescriptor$OfField; archived mirror 0x00000007fef144b0
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 19: was 0x00000007fef00958
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.Class archived mirror 0x00000007fef00958
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 244: was 0x00000007fef06a10
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.Class; archived mirror 0x00000007fef06a10
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 35: was 0x00000007fef010a8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.Cloneable archived mirror 0x00000007fef010a8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 2014: was 0x00000007fef37b00
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.Cloneable; archived mirror 0x00000007fef37b00
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 38: was 0x00000007fef01218
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.ClassLoader archived mirror 0x00000007fef01218
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 39: was 0x00000007fef01298
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 544: was 0x00000007fef0ee88
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.ClassLoader; archived mirror 0x00000007fef0ee88
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 15: was 0x00000007fef00770
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.System archived mirror 0x00000007fef00770
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 16: was 0x00000007fef00810
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 36: was 0x00000007fef01118
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.Throwable archived mirror 0x00000007fef01118
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 37: was 0x00000007fef011b8
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 436: was 0x00000007fef0c308
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.Throwable; archived mirror 0x00000007fef0c308
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 164: was 0x00000007fef04650
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored java.lang.Error archived mirror 0x00000007fef04650
[2024-03-27T04:12:18.167+0000][0.403s][1][125][debug] Clearing root 742: was 0x00000007fef14670
[2024-03-27T04:12:18.167+0000][0.403s][1][125][trace] Restored [Ljava.lang.Error; archived mirror 0x00000007fef14670
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 40: was 0x00000007fef01350
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ThreadDeath archived mirror 0x00000007fef01350
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 162: was 0x00000007fef04560
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.Exception archived mirror 0x00000007fef04560
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 163: was 0x00000007fef045d8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.RuntimeException archived mirror 0x00000007fef045d8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 98: was 0x00000007fef02a38
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.SecurityManager archived mirror 0x00000007fef02a38
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 99: was 0x00000007fef02ac8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 106: was 0x00000007fef02e10
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.security.ProtectionDomain archived mirror 0x00000007fef02e10
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 107: was 0x00000007fef02e88
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 241: was 0x00000007fef068c0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.security.ProtectionDomain; archived mirror 0x00000007fef068c0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 100: was 0x00000007fef02be8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.security.AccessControlContext archived mirror 0x00000007fef02be8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 101: was 0x00000007fef02c60
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 102: was 0x00000007fef02ca8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.security.AccessController archived mirror 0x00000007fef02ca8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 103: was 0x00000007fef02d20
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 108: was 0x00000007fef02ec8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.security.SecureClassLoader archived mirror 0x00000007fef02ec8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 322: was 0x00000007fef09118
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ReflectiveOperationException archived mirror 0x00000007fef09118
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 153: was 0x00000007fef04180
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ClassNotFoundException archived mirror 0x00000007fef04180
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 154: was 0x00000007fef04200
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 139: was 0x00000007fef03b90
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.Record archived mirror 0x00000007fef03b90
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 158: was 0x00000007fef04380
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.LinkageError archived mirror 0x00000007fef04380
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 167: was 0x00000007fef047b8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.NoClassDefFoundError archived mirror 0x00000007fef047b8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 152: was 0x00000007fef04108
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ClassCastException archived mirror 0x00000007fef04108
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 151: was 0x00000007fef04090
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ArrayStoreException archived mirror 0x00000007fef04090
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 170: was 0x00000007fef04920
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.VirtualMachineError archived mirror 0x00000007fef04920
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 743: was 0x00000007fef146e0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.lang.VirtualMachineError; archived mirror 0x00000007fef146e0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 166: was 0x00000007fef04740
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.InternalError archived mirror 0x00000007fef04740
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 169: was 0x00000007fef048a8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.OutOfMemoryError archived mirror 0x00000007fef048a8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 744: was 0x00000007fef14750
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.lang.OutOfMemoryError; archived mirror 0x00000007fef14750
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 171: was 0x00000007fef04998
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.StackOverflowError archived mirror 0x00000007fef04998
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 156: was 0x00000007fef04290
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.IllegalMonitorStateException archived mirror 0x00000007fef04290
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 71: was 0x00000007fef02160
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ref.Reference archived mirror 0x00000007fef02160
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 72: was 0x00000007fef021d8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 1050: was 0x00000007fef1eeb0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.lang.ref.Reference; archived mirror 0x00000007fef1eeb0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 73: was 0x00000007fef021f0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ref.SoftReference archived mirror 0x00000007fef021f0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 1228: was 0x00000007fef22f70
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.lang.ref.SoftReference; archived mirror 0x00000007fef22f70
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 74: was 0x00000007fef02268
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ref.WeakReference archived mirror 0x00000007fef02268
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 1051: was 0x00000007fef1ef20
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.lang.ref.WeakReference; archived mirror 0x00000007fef1ef20
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 75: was 0x00000007fef022d8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ref.FinalReference archived mirror 0x00000007fef022d8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 76: was 0x00000007fef02348
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 77: was 0x00000007fef02360
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ref.PhantomReference archived mirror 0x00000007fef02360
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 78: was 0x00000007fef023d0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.ref.Finalizer archived mirror 0x00000007fef023d0
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 480: was 0x00000007fef0d458
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.Runnable archived mirror 0x00000007fef0d458
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 847: was 0x00000007fef171b8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored [Ljava.lang.Runnable; archived mirror 0x00000007fef171b8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 31: was 0x00000007fef00f38
[2024-03-27T04:12:18.167+0000][0.404s][1][125][trace] Restored java.lang.Thread archived mirror 0x00000007fef00f38
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 32: was 0x00000007fef00fc8
[2024-03-27T04:12:18.167+0000][0.404s][1][125][debug] Clearing root 242: was 0x00000007fef06930
